                                    AKADEMISEKRETARI DAN MANAJEMEN ARIYANTI                                                                      ,0,0
                                    STATUS TERAKREDITASI BAN-PT KEMDIKBUD RI                                                                     ,0,0
                              SURAT KEPUTUSAN                                                                                                   ,1,0
                              Nomor : Skep-163/ASM-A/DIR/V/2015                                                                                  ,2,0
                              TENTANG                                                                                                           ,3,0
                                                         PENGANGKATAN DOSEN TETAP/LUAR BIASA/ASISTEN DOSEN                                      ,3,0
                                                    SEBAGAI PEMBINA MATA KULIAH SEMESTER GENAP KELAS EKSKLUSIF                                  ,3,0
                                                                     TAHUN AKADEMIK 2014/2015                                                   ,3,0
                              ASM ARIYANTI                                                                                                      ,3,0
                                                                       Direktur ASM ARIYANTI                                                    ,4,0
Menimbang                     Bahwa untuk kelancaran pelaksanaan pendidikan perlu mengangkat dosen                                              ,5,0
                              tetap/luar biasa/ asisten dosen sebagai Pembina mata kuliah pada Semester Genap                                   ,5,0
                              Tahun Akademik 2014/2015.                                                                                         ,5,0
Mengingat                     :  1. Undang-undang No. 20 Tahun 2003 tentang Sistem Pendidikan Nasional                                          ,6,0
                              2. Undang-undang No. 12 Tahun 2012 tentang Pendidikan Tinggi                                                      ,6,0
                              3. Peraturan Pemerintah Republik Indonesia No. 4 Tahun 2014 tentang                                               ,6,0
                              Penyelenggaraan Pendidikan Tinggi dan Pengelolaan Perguruan Tinggi                                                ,6,0
                              4. Statuta ASM Ariyanti Bab X tentang Dosen dan Tenaga Kependidikan.                                              ,6,0
                              5. Program Kerja ASM Ariyanti Tahun Akademik 2014/2015                                                            ,6,0
                              6. Rapat Pimpinan Bidang Akademik pada tanggal 18 Mei 2015                                                        ,6,0
Memutuskan                    : 1. Mengangkat/ menunjuk Saudara/i                                                                               ,7,0
"                              Nama   : Imas Wiwin Kurniasih, S.Pd                                                                               ",8,0
Untuk mengajar matakuliah :                                                                                                                      ,7,0
NO.                         KODE MATA                                       MATA KULIAH                 JURUSAN     SKS     SMT       KELAS     ,7,0
                             KULIAH                                                                                                             ,7,0
1.                         MKB-142-042                           Food Production 1                      -MAPER       3       2      Eksklusif   ,7,0
                                                         2. Kepada yang bersangkutan akan diberikan honorarium menurut peraturan yang           ,7,0
                                                         berlaku di lirigkungan ASM Ariyanti                                                    ,7,0
"                                                         3. Kegiatan perkuliahan dimaksud pada point 1 (satu), agar dilaksanakan                ",7,0
                                                         semaksimal mungkin sesuai dengan jadwal perkuliahan dengan bobot yang telah            ,7,0
                                                         ditetapkan serta menyerahkan hasil penilaian ujian tengah semester dan ujian           ,7,0
                                                         akhir semester sesuai dengan ketentuan.                                                ,7,0
                                                         4. Surat keputusan ini disampaikan kepada yang bersangkutan untuk dilaksanakan         ,7,0
                                                         dengan sebaik-baiknya.                                                                 ,7,0
Ditetapkan di     : Bandung                                                                                                                      ,10,0
Pada tanggal      : 20 Mei 2015                                                                                                                  ,11,0
Akademi Sekretari dan Manajemen Ariyanti,12,0
"Direktur,",13,0
"Drs. Deni S. Hambali, M.Si",13,0
Tembusan disampaikan kepada:,14,0
1. Yth. Ketua Pengurus Yayasan Pendidikan Ariyanti                                                                                               ,14,0
